,MovieName,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3,Gross_Collection,Certification,votes
41,Indiana Jones and the Last Crusade, Harrison Ford, Sean Connery, Alison Doody, Denholm Elliott,Action, Adventure,Nan,197.17,PG-13 ,"770,312"
42,Batman Begins, Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson,Action, Crime, Drama,206.85,PG-13 ,"1,501,607"
43,Die Hard, Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson,Action, Thriller,Nan,83.01,R ,"900,594"
44,V for Vendetta, Hugo Weaving, Natalie Portman, Rupert Graves, Stephen Rea,Action, Drama, Sci-Fi,70.51,R ,"1,139,944"
45,Warrior, Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison,Action, Drama, Sport,13.66,PG-13 ,"481,457"
46,Demon Slayer the Movie: Mugen Train, Natsuki Hanae, Akari Kitô, Yoshitsugu Matsuoka, Hiro Shimono,Animation, Action, Adventure,47.70,R ,"64,058"
47,Vikram Vedha, Madhavan, Vijay Sethupathi, Shraddha Srinath, Kathir,Action, Crime, Drama,Nan,Not Rated ,"47,525"
48,Ran, Tatsuya Nakadai, Akira Terao, Jinpachi Nezu, Daisuke Ryû,Action, Drama, War,4.14,R ,"128,989"
49,Baahubali 2: The Conclusion, Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia,Action, Drama,Nan,20.19,Not Rated ,"106,539"
50,Yojimbo, Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai, Yôko Tsukasa,Action, Drama, Thriller,Nan,Not Rated ,"125,762"
51,Sherlock Jr, Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly,Action, Comedy, Romance,0.98,Passed ,"52,355"
52,Gangs of Wasseypur, Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia, Richa Chadha,Action, Comedy, Crime,Nan,Not Rated ,"99,245"
53,Rangasthalam 1985, Ram Charan, Samantha Ruth Prabhu, Aadhi, Jagapathi Babu,Action, Drama,Nan,3.51,Not Rated ,"26,120"
54,K, Yash, Srinidhi Shetty, Ramachandra Raju, Archana Jois,Action, Crime, Drama,Nan,Not Rated ,"91,421"
55,Uri: The Surgical Strike, Vicky Kaushal, Paresh Rawal, Mohit Raina, Yami Gautam,Action, Drama, History,4.19,Not Rated ,"67,049"
56,The Mountain II, Caglar Ertugrul, Ufuk Bayraktar, Ahu Türkpençe, Murat Serezli,Action, Drama, War,Nan,Nan,"109,152"
57,Paan Singh Tomar, Irrfan Khan, Mahie Gill, Rajesh Abhay, Hemendra Dandotiya,Action, Biography, Crime,0.04,Not Rated ,"37,023"
58,Mad Max: Fury Road, Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz,Action, Adventure, Sci-Fi,154.06,R ,"1,028,816"
59,Ford v Ferrari, Matt Damon, Christian Bale, Jon Bernthal, Caitríona Balfe,Action, Biography, Drama,117.62,PG-13 ,"417,337"
60,Pirates of the Caribbean: The Curse of the Black Pearl, Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley,Action, Adventure, Fantasy,305.41,PG-13 ,"1,152,340"
61,Blade Runner, Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos,Action, Drama, Sci-Fi,32.87,R ,"787,120"
62,The Terminator, Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield,Action, Sci-Fi,Nan,38.40,R ,"884,472"
63,Logan, Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook,Action, Drama, Sci-Fi,226.28,R ,"786,356"
64,"Lock, Stock and Two Smoking Barrels", Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham,Action, Comedy, Crime,3.90,R ,"594,662"
65,How to Train Your Dragon, Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse, Craig Ferguson,Animation, Action, Adventure,217.58,PG ,"760,258"
66,Rush, Daniel Brühl, Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara,Action, Biography, Drama,26.95,R ,"490,635"
67,The Iron Giant, Eli Marienthal, Harry Connick Jr., Jennifer Aniston, Vin Diesel,Animation, Action, Adventure,23.16,PG ,"208,615"
68,Neon Genesis Evangelion: The End of Evangelion, Megumi Ogata, Megumi Hayashibara, Yûko Miyamura, Kotono Mitsuishi,Animation, Action, Drama,Nan,TV-MA ,"58,422"
69,The Hidden Fortress, Toshirô Mifune, Misa Uehara, Minoru Chiaki, Kamatari Fujiwara,Action, Adventure, Drama,Nan,Not Rated ,"40,415"
70,The General, Buster Keaton, Marion Mack, Glen Cavender, Jim Farley,Action, Adventure, Comedy,1.03,Passed ,"93,776"
71,White Heat, James Cagney, Virginia Mayo, Edmond O'Brien, Margaret Wycherly,Action, Crime, Drama,Nan,Not Rated ,"34,248"
72,A Wednesday, Anupam Kher, Naseeruddin Shah, Veerendra Saxena, Mahesh Kanual,Action, Crime, Drama,Nan,Not Rated ,"80,167"
73,Bajrangi Bhaijaan, Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui, Kareena Kapoor,Action, Adventure, Comedy,8.18,Not Rated ,"91,811"
74,Sholay, Sanjeev Kumar, Dharmendra, Amitabh Bachchan, Amjad Khan,Action, Adventure, Comedy,Nan,Not Rated ,"57,032"
75,Major, Adivi Sesh, Prakash Raj, Revathi, Saiee Manjrekar,Action, Biography, Drama,Nan,UA ,"30,403"
76,Hera Pheri, Akshay Kumar, Suniel Shetty, Paresh Rawal, Tabu,Action, Comedy, Crime,Nan,Not Rated ,"69,358"
77,Thuppakki, Joseph Vijay, Kajal Aggarwal, Vidyut Jammwal, Sathyan,Action, Thriller,Nan,Nan,Not Rated ,"35,891"
78,Sarfarosh, Aamir Khan, Naseeruddin Shah, Sonali Bendre, Mukesh Rishi,Action, Drama, Thriller,Nan,Not Rated ,"26,211"
79,Kaththi, Joseph Vijay, Samantha Ruth Prabhu, Neil Nitin Mukesh, Tota Roy Chowdhury,Action, Drama,Nan,Nan,Not Rated ,"28,304"
80,Guardians of the Galaxy, Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana,Action, Adventure, Comedy,333.18,PG-13 ,"1,213,974"
81,Dune, Timothée Chalamet, Rebecca Ferguson, Zendaya, Oscar Isaac,Action, Adventure, Drama,108.33,PG-13 ,"675,258"
82,Blade Runner 2049, Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista,Action, Drama, Mystery,92.05,R ,"602,509"
83,Deadpool, Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein,Action, Comedy,Nan,363.07,R ,"1,066,340"
84,The Avengers, Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner,Action, Sci-Fi,Nan,623.28,PG-13 ,"1,414,692"
85,Zack Snyder's Justice League, Henry Cavill, Ben Affleck, Gal Gadot, Amy Adams,Action, Adventure, Fantasy,Nan,R ,"412,035"
86,Casino Royale, Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright,Action, Adventure, Thriller,167.45,PG-13 ,"670,430"
87,The Incredibles, Craig T. Nelson, Samuel L. Jackson, Holly Hunter, Jason Lee,Animation, Action, Adventure,261.44,PG ,"760,266"
88,The Revenant, Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson,Action, Adventure, Drama,183.64,R ,"826,937"
89,Akira, Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tesshô Genda,Animation, Action, Drama,0.55,R ,"193,337"
90,Kill Bill: Vol, Uma Thurman, David Carradine, Michael Madsen, Daryl Hannah,Action, Crime, Thriller,66.21,R ,"773,323"
91,Ip Man, Donnie Yen, Simon Yam, Siu-Wong Fan, Ka-Tung Lam,Action, Biography, Drama,Nan,R ,"228,205"
92,The Bourne Ultimatum, Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles,Action, Mystery, Thriller,227.47,PG-13 ,"643,733"
93,Wolfwalkers, Honor Kneafsey, Eva Whittaker, Sean Bean, Simon McBurney,Animation, Action, Adventure,Nan,PG ,"35,053"
94,Infernal Affairs, Andy Lau, Tony Leung Chiu-wai, Anthony Chau-Sang Wong, Eric Tsang,Action, Crime, Drama,0.17,R ,"127,543"
95,Baahubali: The Beginning, Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia,Action, Drama,Nan,6.74,Not Rated ,"129,800"
96,Elite Squad, Wagner Moura, André Ramiro, Caio Junqueira, Milhem Cortaz,Action, Crime, Drama,0.01,R ,"106,655"
97,Haider, Shahid Kapoor, Tabu, Shraddha Kapoor, Kay Kay Menon,Action, Crime, Drama,0.90,Not Rated ,"56,046"
98,Elite Squad 2: The Enemy Within, Wagner Moura, Irandhir Santos, André Ramiro, Milhem Cortaz,Action, Crime, Drama,0.10,Not Rated ,"84,690"
99,Sanjuro, Toshirô Mifune, Tatsuya Nakadai, Keiju Kobayashi, Yûnosuke Itô,Action, Drama, Thriller,Nan,Not Rated ,"39,405"
100,Andaz Apna Apna, Aamir Khan, Salman Khan, Raveena Tandon, Karisma Kapoor,Action, Comedy, Romance,Nan,Not Rated ,"54,182"
